,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
74,28,ANDHRA PRADESH,533,Nizamabad,4364,Bheemgal,0,Bheemgal
75,28,ANDHRA PRADESH,533,Nizamabad,4365,Velpur,0,Velpur
76,28,ANDHRA PRADESH,533,Nizamabad,4366,Jakranpalle,0,Jakranpalle
77,28,ANDHRA PRADESH,533,Nizamabad,4367,Makloor,0,Makloor
78,28,ANDHRA PRADESH,533,Nizamabad,4368,Nizamabad,0,Nizamabad
79,28,ANDHRA PRADESH,533,Nizamabad,4368,Nizamabad,802904,Nizamabad (M Corp.)
80,28,ANDHRA PRADESH,533,Nizamabad,4369,Yedpalle,0,Yedpalle
81,28,ANDHRA PRADESH,533,Nizamabad,4370,Bodhan,0,Bodhan
82,28,ANDHRA PRADESH,533,Nizamabad,4370,Bodhan,802905,Bodhan (M)
83,28,ANDHRA PRADESH,533,Nizamabad,4371,Kotgiri,0,Kotgiri
84,28,ANDHRA PRADESH,533,Nizamabad,4372,Madnoor,0,Madnoor
85,28,ANDHRA PRADESH,533,Nizamabad,4373,Jukkal,0,Jukkal
86,28,ANDHRA PRADESH,533,Nizamabad,4374,Bichkunda,0,Bichkunda
87,28,ANDHRA PRADESH,533,Nizamabad,4375,Birkoor,0,Birkoor
88,28,ANDHRA PRADESH,533,Nizamabad,4376,Varni,0,Varni
89,28,ANDHRA PRADESH,533,Nizamabad,4377,Dichpalle,0,Dichpalle
90,28,ANDHRA PRADESH,533,Nizamabad,4378,Dharpalle,0,Dharpalle
91,28,ANDHRA PRADESH,533,Nizamabad,4379,Sirkonda,0,Sirkonda
92,28,ANDHRA PRADESH,533,Nizamabad,4380,Machareddy,0,Machareddy
93,28,ANDHRA PRADESH,533,Nizamabad,4381,Sadasivanagar,0,Sadasivanagar
94,28,ANDHRA PRADESH,533,Nizamabad,4382,Gandhari,0,Gandhari
95,28,ANDHRA PRADESH,533,Nizamabad,4383,Banswada,0,Banswada
96,28,ANDHRA PRADESH,533,Nizamabad,4384,Pitlam,0,Pitlam
97,28,ANDHRA PRADESH,533,Nizamabad,4385,Nizamsagar,0,Nizamsagar
98,28,ANDHRA PRADESH,533,Nizamabad,4386,Yellareddy,0,Yellareddy
99,28,ANDHRA PRADESH,533,Nizamabad,4387,Nagareddipet,0,Nagareddipet
100,28,ANDHRA PRADESH,533,Nizamabad,4388,Lingampet,0,Lingampet
101,28,ANDHRA PRADESH,533,Nizamabad,4389,Tadwai,0,Tadwai
102,28,ANDHRA PRADESH,533,Nizamabad,4390,Kamareddy,0,Kamareddy
103,28,ANDHRA PRADESH,533,Nizamabad,4390,Kamareddy,802906,Kamareddy (M)
104,28,ANDHRA PRADESH,533,Nizamabad,4391,Bhiknoor,0,Bhiknoor
105,28,ANDHRA PRADESH,533,Nizamabad,4392,Domakonda,0,Domakonda
106,28,ANDHRA PRADESH,534,Karimnagar,0,Karimnagar,0,Karimnagar
107,28,ANDHRA PRADESH,534,Karimnagar,0,Karimnagar,802907,Ramagundam (M + OG)
108,28,ANDHRA PRADESH,534,Karimnagar,0,Karimnagar,802911,Karimnagar (M Corp. + OG)
109,28,ANDHRA PRADESH,534,Karimnagar,4393,Ibrahimpatnam,0,Ibrahimpatnam
110,28,ANDHRA PRADESH,534,Karimnagar,4394,Mallapur,0,Mallapur
111,28,ANDHRA PRADESH,534,Karimnagar,4395,Raikal,0,Raikal
112,28,ANDHRA PRADESH,534,Karimnagar,4396,Sarangapur,0,Sarangapur
113,28,ANDHRA PRADESH,534,Karimnagar,4397,Dharmapuri,0,Dharmapuri
114,28,ANDHRA PRADESH,534,Karimnagar,4398,Velgatoor,0,Velgatoor
115,28,ANDHRA PRADESH,534,Karimnagar,4399,Ramagundam,0,Ramagundam
116,28,ANDHRA PRADESH,534,Karimnagar,4399,Ramagundam,802907,Ramagundam (M + OG) (Part)
117,28,ANDHRA PRADESH,534,Karimnagar,4399,Ramagundam,802907,Ramagundam (M)
118,28,ANDHRA PRADESH,534,Karimnagar,4400,Kamanpur,0,Kamanpur
119,28,ANDHRA PRADESH,534,Karimnagar,4400,Kamanpur,802907,Ramagundam (M + OG) (Part)
120,28,ANDHRA PRADESH,534,Karimnagar,4401,Manthani,0,Manthani
121,28,ANDHRA PRADESH,534,Karimnagar,4402,Kataram,0,Kataram
122,28,ANDHRA PRADESH,534,Karimnagar,4403,Mahadevpur,0,Mahadevpur
123,28,ANDHRA PRADESH,534,Karimnagar,4404,Mutharam (Mahadevpur),0,Mutharam (Mahadevpur)
124,28,ANDHRA PRADESH,534,Karimnagar,4405,Malharrao,0,Malharrao
125,28,ANDHRA PRADESH,534,Karimnagar,4406,Mutharam (Manthani),0,Mutharam (Manthani)
126,28,ANDHRA PRADESH,534,Karimnagar,4407,Srirampur,0,Srirampur
127,28,ANDHRA PRADESH,534,Karimnagar,4408,Peddapalle,0,Peddapalle
128,28,ANDHRA PRADESH,534,Karimnagar,4409,Julapalle,0,Julapalle
129,28,ANDHRA PRADESH,534,Karimnagar,4410,Elgaid,0,Elgaid
130,28,ANDHRA PRADESH,534,Karimnagar,4411,Dharmaram,0,Dharmaram
131,28,ANDHRA PRADESH,534,Karimnagar,4412,Gollapalle,0,Gollapalle
132,28,ANDHRA PRADESH,534,Karimnagar,4413,Mallial,0,Mallial
133,28,ANDHRA PRADESH,534,Karimnagar,4414,Jagtial,0,Jagtial
134,28,ANDHRA PRADESH,534,Karimnagar,4414,Jagtial,802908,Jagtial (M + OG)
135,28,ANDHRA PRADESH,534,Karimnagar,4414,Jagtial,802908,Jagtial (M)
136,28,ANDHRA PRADESH,534,Karimnagar,4415,Medipalle,0,Medipalle
137,28,ANDHRA PRADESH,534,Karimnagar,4416,Koratla,0,Koratla
138,28,ANDHRA PRADESH,534,Karimnagar,4416,Koratla,802909,Koratla (M)
139,28,ANDHRA PRADESH,534,Karimnagar,4417,Metpalle,0,Metpalle
140,28,ANDHRA PRADESH,534,Karimnagar,4417,Metpalle,802910,Metpalle (M)
141,28,ANDHRA PRADESH,534,Karimnagar,4418,Kathlapur,0,Kathlapur
142,28,ANDHRA PRADESH,534,Karimnagar,4419,Chandurthi,0,Chandurthi
